# t [s], p1 [Pa], p2 [Pa], mobA [kg], immA [kg], dissA [kg], sealA [kg], mobB [kg], immB [kg], dissB [kg], sealB [kg], M_C [m], sealTot [kg], boundTot [kg]
6.591170664e9, 4.107486769142688e7, 3.519149825897248e7, 3.422180345487368e7, 136863.87368947768, 2.10486062048664e6, 114390.19202746912, 1.3852747685811205e6, 70615.84075116404, 1.3153848267370556e6, 7.366035372918259, NaN, 285716.3602619882, 3.9061362911402693
6.622727616e9, 4.107303870213789e7, 3.51896017310036e7, 3.4247367045380935e7, 135386.5768629053, 2.1138444546710495e6, 114389.15618601354, 1.3841293211634494e6, 68720.32179537343, 1.316317114216442e6, 7.315643574679382, NaN, 285704.68767396355, 3.906137081721229
6.646295808e9, 4.107115210576757e7, 3.518765298833769e7, 3.426949625221876e7, 133885.96956803795, 2.1256549394969014e6, 114388.10002230755, 1.3829827705770202e6, 66753.58557634898, 1.3172896159835265e6, 7.260501187269202, NaN, 285692.8347773767, 3.906137449708958
6.669864e9, 4.1069756599661194e7, 3.518621784561714e7, 3.428538097498457e7, 136133.25920631227, 2.1312615654249033e6, 114387.31516683189, 1.382126641595395e6, 65247.52327209899, 1.3180431370450438e6, 7.218625088955937, NaN, 285684.0829943769, 3.906137746873084
6.701420952e9, 4.106838262398094e7, 3.518480620640182e7, 3.430053023175079e7, 139581.70887150546, 2.13590769270862e6, 114386.53395912834, 1.381271185219022e6, 63705.181840401325, 1.3188231602326268e6, 7.176251562617721, NaN, 285675.37590601115, 3.9061379087905506
6.732977904e9, 4.1066570773434244e7, 3.518294708880053e7, 3.4319198065621205e7, 144352.2974687603, 2.142751495704748e6, 114385.48631631289, 1.3801235636631614e6, 61576.18698725955, 1.319913517628375e6, 7.117493450813269, NaN, 285663.6739530408, 3.9061377308670275
6.764534856e9, 4.106477410931326e7, 3.518110025887516e7, 3.433622243131415e7, 149229.04674599186, 2.150318297842531e6, 114384.4323114298, 1.3379760044597331e6, 100905.6710250009, 1.320522035607752e6, 7.055734941166104, NaN, 285651.8810894567, 3.9061371591753073
6.796091808e9, 4.106303074618346e7, 3.517931234009379e7, 3.4352208052309565e7, 156165.3802919071, 2.1559880197556014e6, 114383.37985900643, 1.3370099125609244e6, 99818.18375049185, 1.3203477429173046e6, 6.991826149782566, NaN, 285640.1213608662, 3.90613637073223
6.82764876e9, 4.106132872372443e7, 3.517756553458656e7, 3.436731502170619e7, 164081.84441638482, 2.1607239574639513e6, 114382.32881099678, 1.3360289940688375e6, 98626.54079024913, 1.3202778835187797e6, 6.926281038519851, NaN, 285628.7404414327, 3.906135264424697
6.859205712e9, 4.105963974170581e7, 3.517582725577163e7, 3.438153653395291e7, 172041.1092141662, 2.1655396941616847e6, 114381.27619641446, 1.33504352651442e6, 97336.68425729299, 1.3202953079252366e6, 6.858793046436309, NaN, 285617.6177217926, 3.90613376226127
6.890762664e9, 4.105796849484296e7, 3.51741135754969e7, 3.444260290515041e7, 132350.14142202976, 2.1704334820551644e6, 114380.21928411072, 1.334053701884497e6, 95954.17325650969, 1.3203933180259597e6, 6.788865813271279, NaN, 285606.43387090473, 3.9061318704508645
